,回別,抽せん日,ナンバーズ3抽せん数字
0,第5857回,2021年12月30日,131
1,第5856回,2021年12月29日,737
2,第5855回,2021年12月28日,553
3,第5854回,2021年12月27日,692
4,第5853回,2021年12月24日,069
5,第5852回,2021年12月23日,486
6,第5851回,2021年12月22日,365
7,第5850回,2021年12月21日,858
8,第5849回,2021年12月20日,245
9,第5848回,2021年12月17日,050
10,第5847回,2021年12月16日,074
11,第5846回,2021年12月15日,728
12,第5845回,2021年12月14日,702
13,第5844回,2021年12月13日,418
14,第5843回,2021年12月10日,540
15,第5842回,2021年12月9日,398
16,第5841回,2021年12月8日,570
17,第5840回,2021年12月7日,871
18,第5839回,2021年12月6日,075
19,第5838回,2021年12月3日,856
20,第5837回,2021年12月2日,398
21,第5836回,2021年12月1日,126
22,第5835回,2021年11月30日,840
23,第5834回,2021年11月29日,935
24,第5833回,2021年11月26日,931
25,第5832回,2021年11月25日,357
26,第5831回,2021年11月24日,448
27,第5830回,2021年11月23日,549
28,第5829回,2021年11月22日,363
29,第5828回,2021年11月19日,571
30,第5827回,2021年11月18日,802
31,第5826回,2021年11月17日,967
32,第5825回,2021年11月16日,313
33,第5824回,2021年11月15日,245
34,第5823回,2021年11月12日,635
35,第5822回,2021年11月11日,748
36,第5821回,2021年11月10日,905
37,第5820回,2021年11月9日,024
38,第5819回,2021年11月8日,576
39,第5818回,2021年11月5日,169
40,第5817回,2021年11月4日,063
41,第5816回,2021年11月3日,188
42,第5815回,2021年11月2日,265
43,第5814回,2021年11月1日,042
44,第5813回,2021年10月29日,236
45,第5812回,2021年10月28日,187
46,第5811回,2021年10月27日,488
47,第5810回,2021年10月26日,495
48,第5809回,2021年10月25日,970
49,第5808回,2021年10月22日,426
50,第5807回,2021年10月21日,722
51,第5806回,2021年10月20日,353
52,第5805回,2021年10月19日,491
53,第5804回,2021年10月18日,527
54,第5803回,2021年10月15日,968
55,第5802回,2021年10月14日,019
56,第5801回,2021年10月13日,642
57,第5800回,2021年10月12日,461
58,第5799回,2021年10月11日,473
59,第5798回,2021年10月8日,071
60,第5797回,2021年10月7日,716
61,第5796回,2021年10月6日,649
62,第5795回,2021年10月5日,033
63,第5794回,2021年10月4日,876
64,第5793回,2021年10月1日,910
65,第5792回,2021年9月30日,606
66,第5791回,2021年9月29日,610
67,第5790回,2021年9月28日,226
68,第5789回,2021年9月27日,275
69,第5788回,2021年9月24日,262
70,第5787回,2021年9月23日,975
71,第5786回,2021年9月22日,708
72,第5785回,2021年9月21日,114
73,第5784回,2021年9月20日,723
74,第5783回,2021年9月17日,714
75,第5782回,2021年9月16日,662
76,第5781回,2021年9月15日,032
77,第5780回,2021年9月14日,468
78,第5779回,2021年9月13日,040
79,第5778回,2021年9月10日,931
80,第5777回,2021年9月9日,916
81,第5776回,2021年9月8日,547
82,第5775回,2021年9月7日,059
83,第5774回,2021年9月6日,595
84,第5773回,2021年9月3日,099
85,第5772回,2021年9月2日,933
86,第5771回,2021年9月1日,502
87,第5770回,2021年8月31日,335
88,第5769回,2021年8月30日,412
89,第5768回,2021年8月27日,413
90,第5767回,2021年8月26日,987
91,第5766回,2021年8月25日,760
92,第5765回,2021年8月24日,841
93,第5764回,2021年8月23日,128
94,第5763回,2021年8月20日,862
95,第5762回,2021年8月19日,034
96,第5761回,2021年8月18日,144
97,第5760回,2021年8月17日,630
98,第5759回,2021年8月16日,746
99,第5758回,2021年8月13日,707
100,第5757回,2021年8月12日,745
101,第5756回,2021年8月11日,261
102,第5755回,2021年8月10日,599
103,第5754回,2021年8月9日,419
104,第5753回,2021年8月6日,163
105,第5752回,2021年8月5日,345
106,第5751回,2021年8月4日,696
107,第5750回,2021年8月3日,240
108,第5749回,2021年8月2日,239
109,第5748回,2021年7月30日,704
110,第5747回,2021年7月29日,764
111,第5746回,2021年7月28日,614
112,第5745回,2021年7月27日,556
113,第5744回,2021年7月26日,388
114,第5743回,2021年7月23日,378
115,第5742回,2021年7月22日,764
116,第5741回,2021年7月21日,803
117,第5740回,2021年7月20日,900
118,第5739回,2021年7月19日,415
119,第5738回,2021年7月16日,090
120,第5737回,2021年7月15日,920
121,第5736回,2021年7月14日,740
122,第5735回,2021年7月13日,293
123,第5734回,2021年7月12日,768
124,第5733回,2021年7月9日,292
125,第5732回,2021年7月8日,758
126,第5731回,2021年7月7日,888
127,第5730回,2021年7月6日,641
128,第5729回,2021年7月5日,591
129,第5728回,2021年7月2日,759
130,第5727回,2021年7月1日,472
131,第5726回,2021年6月30日,389
132,第5725回,2021年6月29日,736
133,第5724回,2021年6月28日,479
134,第5723回,2021年6月25日,093
135,第5722回,2021年6月24日,153
136,第5721回,2021年6月23日,836
137,第5720回,2021年6月22日,400
138,第5719回,2021年6月21日,367
139,第5718回,2021年6月18日,752
140,第5717回,2021年6月17日,089
141,第5716回,2021年6月16日,553
142,第5715回,2021年6月15日,108
143,第5714回,2021年6月14日,901
144,第5713回,2021年6月11日,695
145,第5712回,2021年6月10日,746
146,第5711回,2021年6月9日,736
147,第5710回,2021年6月8日,841
148,第5709回,2021年6月7日,118
149,第5708回,2021年6月4日,227
150,第5707回,2021年6月3日,633
151,第5706回,2021年6月2日,948
152,第5705回,2021年6月1日,117
153,第5704回,2021年5月31日,493
154,第5703回,2021年5月28日,282
155,第5702回,2021年5月27日,635
156,第5701回,2021年5月26日,576
157,第5700回,2021年5月25日,369
158,第5699回,2021年5月24日,052
159,第5698回,2021年5月21日,151
160,第5697回,2021年5月20日,130
161,第5696回,2021年5月19日,855
162,第5695回,2021年5月18日,270
163,第5694回,2021年5月17日,615
164,第5693回,2021年5月14日,863
165,第5692回,2021年5月13日,958
166,第5691回,2021年5月12日,265
167,第5690回,2021年5月11日,753
168,第5689回,2021年5月10日,860
169,第5688回,2021年5月7日,068
170,第5687回,2021年5月6日,475
171,第5686回,2021年5月5日,782
172,第5685回,2021年5月4日,465
173,第5684回,2021年5月3日,971
174,第5683回,2021年4月30日,050
175,第5682回,2021年4月29日,755
176,第5681回,2021年4月28日,537
177,第5680回,2021年4月27日,053
178,第5679回,2021年4月26日,109
179,第5678回,2021年4月23日,762
180,第5677回,2021年4月22日,148
181,第5676回,2021年4月21日,258
182,第5675回,2021年4月20日,526
183,第5674回,2021年4月19日,750
184,第5673回,2021年4月16日,623
